trigger_no,trigger_type,acc,stimulus
1,stimulus,False,neutral_2
2,answer,False,neutral_2
3,stimulus,False,neutral
4,answer,False,neutral
5,stimulus,False,congruent_strong
6,answer,False,congruent_strong
7,stimulus,UNKNOWN,UNKNOWN
# 0:00:00.000011  | info     | TriggerHandler constructed with params: dummy_mode=True,trigger_time=0.003
# 0:00:00.000021  | info     | Possible triggerTypes registered: ['stimulus', 'answer']
# 0:00:00.000024  | info     | Dummy mode: True
# 0:00:00.000026  | info     | Trigger time: 0.003
# 0:00:00.000029  | info     | Params registered: ['trigger_no', 'trigger_type', 'acc', 'stimulus']
# 0:00:00.000032  | info     | Trigger limit set to: 60
# 0:00:06.296966  | info     | send_trigger() run with params trigger_type=stimulus, info=None, with_delay=True
# 0:00:08.359789  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:00:11.134696  | info     | send_trigger() run with params trigger_type=stimulus, info=None, with_delay=True
# 0:00:11.616514  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:00:13.838462  | info     | send_trigger() run with params trigger_type=stimulus, info=None, with_delay=True
# 0:00:14.158287  | info     | send_trigger() run with params trigger_type=answer, info=None, with_delay=True
# 0:00:16.238884  | info     | send_trigger() run with params trigger_type=stimulus, info=None, with_delay=True
